Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page,Column_18,Column_19,Column_20,Column_21
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
,,,56,14,200,508,323,201,236,250,278,294,311,356,385,493,,4,,,,
,,,54 56,96,104,865,317,175,,246,263,286,323,358,411,493,,4,,,,
,,,54,38,15,317,119,49,58,71,84,97,134,158,171,215,,4,,,,
,,,54,7,30,2631204 263,204,34,34,186,201,236,236,250,264,264,,4,,,,
,,,55,94,14,,183,67,99,129,150,173,194,228,261,309,,4,,,,
,,,,,35,,200,,,,105,219,,236,278,,,4,,,,
,,,56,9,,,,40,44,47,,,219,,,453,,4,,,,
,,,54 56,110,14,5391186 539,186,62,94,129,153,179,201,233,262,,,4,,,,
,,,57,,109,418,194,114,123,123,145,158,171,236,236,278,,4,,,,
,,,54,109,15,865,223,62,93,127,162,191,224,260,327,408,,4,,,,
,,,55,204,14,641,231,89,129,155,185,219,251,282,318,399,,4,,,,
,,,56,34,35,626,290,47,186,219,250,271,298,356,419,493,,4,,,,
,,,57,,109,418,194,114,,123,145,158,171,236,236,278,,4,,,,
,,,54 57,355,14,8651234 865,234,78,116,152,181,215,249,279,326,419,,4,,,,
,EAST ST LOUIS,1155,,19,80,357,226,145,177,189,201,215,222,236,,346,,4,,,,
,,,56,31,167,608,,191,210,223,236,264,288,317,366,430,,4,,,,
,,,56,30,80,608,266,175,194,209,223,236,271,303,337,,,4,,,,
,,2155,55,18,32,280,129,76,85,89,100,123,138,158,171,191,,4,,,,
,,,56,33,68,311,147,76,99,108,115,134,154,167,186,236,,4,,,,
,,,55 56,,32,311,141,76,91,1012,112,127,148,165,184,219,,4,,,,
,,,35,37,32,357,179,83,,129,,179,190,208,,,,4,,,,
,,,,,,,,,94,,154,,,,236,315,,4,,,,
,,,56,64,68,608,217,95,115,149,175,201,222,254,292,366,,4,,,,
,,,56,101,32,608,203,89,110,138,166,189,210,234,287,337,,4,,,,
,SPRINGFIELD,,57,20,42,210,94,47,62,71,79,86,94,105,123,145,,4,,,,
,INO,1755,,20,i2i,852,334,1354,171,,,327,350,373,453,,,5,,,,
,,,56,15,140,720,354,201,247,,,385,402,436,453,,,5,,,,
,,1457,57,20,66,978,306,123,145,,,264,278,,385,493,,5,,,,
,,,55 57,,66,978,329,145,201,,,288,335,385,442,,,5,,,,
,,,,22,69,677,282,145,155,171,247,268,294,327,385,453,,5,,,,
,,2156,56,15,122,564,269,134,145,,201 201,236,278,327,385,535,,5,,,,
,,,,,74,545,224,105,152,171,186,201,224,257,303,327,,5,,,,
,,,,,,,257,,,,201,236,266,300,339,430,,5,,,,
,,,55 57,,69,677,,130,154,169,,,,,,,,5,,,,
,,,55,20,91,350,197,100,129,140,171,201,219,236,257,278,,5,,,,
,,,56,,79,405,263,97,,194,236,294,311,342,371,,,5,,,,
,,,57,16,,442,216,,145,158,179,194,213,236,278,327,,5,,,,
,,,55 57,57,,442,225,102,134,171,,210,232,271,327,375,,5,,,,
,,,,,76,410,203,89,117,123,179,194,219,257,278,,,5,,,,
,,,55,,,,,,,,,,201,236,327,305,,5,,,,
,,,56,19,97,395,209,100,114,134,154,,,,,,,5,,,,
,,,57,20,55,3451187 345,187,65,105,145,177,189,201,224,257,3U3,,5,,,,
,,,55 57,57,55,410,199,93,,134,171,189,206,236,292,327,,5,,,,
,,,55,80,69,852,256,114,145,168,201,,259,299,350,419,,5,,,,
,,,56,66,79,720,269,,,175,208,257,303,349,392,439,,5,,,,
,,,37,80,55,978,233,105,,171,189,,236,267,300,366,,5,,,,
,,,55 57,228,55,978,252,110,144,171,197,,260,,346,,,5,,,,
,EVANSVILLE,,57,25,13,170,97,65,69,76,89,97,102,Les,130,,,5,,,,
,FORT WAYNE,,57,26,70,304 3041138,138,80,94,105,116,126,136,145,181,219,,5,,,,
,,,57,26,87,260,149,109,116,126,132,142,155,166,183,,,5,,,,
,DETROIT MICH,,53,33,137,716,344,154,186,219,290,342,385,453,487,533,,5,,,,
,,,54,191173 19,173,743,334,186,201,264,288,307,317,356,408,453,,5,,,,
,,,53 54,92,137,743,340,171,190,247,,316,356,408,476,533,,5,,,,
,,,,,,,,,,,,,,,,236,,5,,,,
,,2,56,30,,344,169,110,123,136,148,155,163,171,215,,,5,,,,
,,,56,33,25,257,106,40,52,58,76,97,1405,123,158,219,,5,,,,
,,,57,23,48,303,148,89,105,112,119,138,154,171,201,236,,5,,,,
